element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
O,4,,257.429,,,1.78e+07,C+,7/2,5/2,,
O,2,257.5271,257.5277,,13,1.37e+07,D,3/2,5/2,,
O,2,,257.5415,,,2.29e+06,D,3/2,3/2,,
O,4,,257.661,,,7.75e+05,B,3/2,3/2,,
O,4,,258.201,,,6.94e+06,B,5/2,3/2,,
O,3,,259.7699,,,1.20e+08,C+,2,1,,
O,3,,260.5424,,,7.14e+07,C+,1,1,,
O,3,,260.9590,,,2.37e+07,C+,0,1,,
O,1,,261.145,,,1.48e+05,C,2,3,,
O,1,,261.145,,,1.08e+05,D,1,2,,
O,1,,261.145,,,7.10e+04,D,2,2,,
O,1,,261.145,,,9.57e+04,D,1,1,,
O,1,,261.147,,,9.00e+04,D,0,1,,
O,4,,261.757,,,1.64e+07,C+,7/2,5/2,,
O,4,,261.853,,,1.29e+07,C+,5/2,3/2,,
O,4,,262.110,,,1.02e+07,C+,3/2,1/2,,
O,3,,262.2287,,,1.21e+07,B,1,2,,
O,4,,262.323,,,6.53e+06,C+,3/2,3/2,,
O,4,,262.480,,,1.02e+07,C+,1/2,1/2,,
O,4,,262.534,,,3.66e+06,C+,5/2,5/2,,
O,4,,262.694,,,1.02e+06,C+,1/2,3/2,,
O,4,,263.006,,,4.05e+05,C,3/2,5/2,,
O,4,,263.815,,,5.03e+06,C+,5/2,3/2,,
O,4,,264.388,,,1.65e+06,B,3/2,5/2,,
O,4,,264.407,,,2.75e+05,B,3/2,3/2,,
O,4,,265.467,,,1.36e+06,B,1/2,3/2,,
O,4,,266.069,,,1.18e+06,B,1/2,3/2,,
O,3,,266.5684,,,6.75e+07,C+,1,2,,
O,3,,267.4580,,,1.11e+08,C+,2,2,,
O,4,,267.479,,,2.31e+05,C+,3/2,3/2,,
O,3,,267.7813,,,9.66e+06,C+,2,3,,
O,3,,268.3658,,,1.85e+08,C+,1,0,,
O,3,,268.6154,,,1.54e+08,C+,3,2,,
O,3,268.753,268.7547,,80,1.84e+08,C+,1,1,,
O,3,,269.2734,,,2.38e+06,C+,2,2,,
O,5,,269.530,,,2.58e+08,C+,4,5,,
O,3,269.549,269.5477,,110,1.82e+08,C+,1,2,,
O,5,,270.002,,,2.60e+08,B,3,4,,
O,3,,270.0540,,,2.62e+05,C,2,1,,
O,3,,270.1035,,,7.06e+06,C+,1,2,,
O,5,,270.682,,,2.38e+08,C+,3,4,,
O,5,,270.698,,,1.59e+07,C+,4,4,,
O,3,,270.8889,,,3.89e+06,C+,1,1,,
O,5,,271.153,,,2.32e+08,C+,2,3,,
O,5,,271.160,,,2.03e+07,C+,3,3,,
O,5,,271.176,,,3.10e+05,C,4,3,,
O,3,,271.3393,,,5.16e+06,C+,0,1,,
O,2,271.5365,271.5360,,8,1.24e+06,C,1/2,3/2,,
O,2,271.8828,271.8805,,6,1.10e+06,C+,1/2,1/2,,
O,3,,272.689,,,8.01e+07,C+,2,1,,
O,5,,272.931,,,4.52e+07,B,1,2,,
O,4,,273.068,,,2.79e+05,B,5/2,5/2,,
O,5,,273.145,,,5.90e+07,B,0,1,,
O,4,,273.284,,,5.85e+06,B,5/2,3/2,,
O,2,273.3289,273.3294,,17,5.93e+07,C,1/2,3/2,,
O,3,,273.506,,,4.76e+07,C+,1,1,,
O,3,,273.909,,,1.58e+07,C+,0,1,,
O,4,,274.132,,,2.93e+08,B,3/2,5/2,,
O,5,,274.361,,,4.38e+07,B,1,1,,
O,2,274.7367,274.7367,,15,5.84e+07,C,1/2,1/2,,
O,4,,274.742,,,3.11e+08,B,5/2,7/2,,
O,4,,274.742,,,2.08e+07,B,5/2,5/2,,
O,4,,274.812,,,5.48e+06,B,7/2,5/2,,
O,5,,275.223,,,1.82e+08,B,1,0,,
O,5,,275.470,,,3.52e+08,C+,3,4,,
O,5,,275.513,,,1.37e+08,B,2,2,,
O,5,,275.591,,,3.13e+08,C+,2,3,,
O,5,,275.614,,,3.92e+07,C+,3,3,,
O,5,,275.698,,,2.95e+08,C+,1,2,,
