element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,2,,,278.0940,,,1.76e+05,D,,
N,2,279.922,,279.9218,,110,1.62e+07,B,,
N,3,,,280.070,,,2.11e+05,C+,,
N,3,,,280.085,,,2.11e+06,B,,
N,3,,,280.320,,,1.89e+06,B,,
N,4,,,280.935,,,1.43e+08,B,,
N,2,282.364,,282.3631,,110,2.39e+07,C+,,
N,5,,,285.803,,,2.16e+08,A,,
N,2,,,285.864,,,2.02e-03,C,M1,
N,2,,,285.873,,,6.06e-03,C,M1,
N,5,285.916,0.005,285.916,,60l,2.59e+08,A,,
N,5,,,285.934,,,4.31e+07,A,,
N,3,,,286.286,,,1.67e+05,C+,,
N,3,,,286.561,,,6.65e+04,C,,
N,3,,,286.870,,,3.31e+04,C,,
N,3,,,287.145,,,1.32e+05,C+,,
N,2,288.527,,,,160,,,,
N,6,,,289.5238,0.0006,,2.079e+07,AA,,
N,3,,,289.727,,,1.77e+00,D+,,
N,3,,,291.942,,,3.08e+06,C+,,
N,3,,,291.942,,,1.47e+05,C,,
N,3,,,291.952,,,2.93e+06,C+,,
N,5,,,292.438,,,5.79e+07,A,,
N,5,,,292.508,,,6.94e+07,A,,
N,5,,,292.518,,,1.16e+07,A,,
N,3,,,294.240,,,1.36e+07,C+,,
N,3,,,295.010,,,1.45e+07,C+,,
N,3,,,295.010,,,9.64e+05,C+,,
N,3,,,297.255,,,6.67e+07,B,,
N,5,297.452,0.005,,,90l,,,,
N,3,,,297.733,,,3.32e+07,B,,
N,3,,,297.884,,,1.66e+07,B,,
N,5,298.078,0.005,,,150w,,,,
N,5,298.131,0.005,,,250w,,,,
N,3,,,298.364,,,8.24e+07,B,,
N,5,299.843,0.005,,,60w,,,,
N,2,300.683,,300.6830,,220,9.19e+07,B,,
N,2,,,302.3669,,,2.27e+07,B,,
N,5,,,302.661,,,2.41e+06,B+,,
N,5,,,302.682,,,2.16e+07,B+,,
N,5,,,302.697,,,2.41e+07,B+,,
N,5,,,304.860,,,2.83e+07,A,,
N,5,,,304.947,,,5.65e+07,A,,
N,5,,,305.162,,,7.82e+06,A,,
N,5,,,305.208,,,7.04e+07,A,,
N,4,,,305.220,,,1.33e+07,B,,
N,5,,,305.250,,,7.82e+07,A,,
N,3,,,305.387,,,3.22e+05,C+,,
N,3,,,305.765,,,3.21e+04,C,,
N,3,,,305.810,,,3.21e+05,C+,,
N,4,,,305.960,,,3.95e+07,B,,
N,3,,,306.189,,,2.05e+05,B,,
N,2,,,306.283,,,3.18e-02,C,M1,
N,3,,,306.701,,,1.27e+04,C,,
N,3,,,306.763,,,4.01e+05,B,,
N,2,,,307.055,,,1.55e-04,D,E2,
N,3,,,307.277,,,1.14e+05,C+,,
N,4,,,307.519,,,6.48e+07,B,,
N,4,307.825,,307.827,,90,3.91e+08,B,,
N,3,,,307.941,,,6.22e+04,C+,,
N,3,,,307.959,,,6.22e+05,B,,
N,3,,,308.114,,,5.02e+05,B,,
N,3,,,308.784,,,5.55e+05,B,,
N,3,,,310.914,,,5.19e+04,C+,,
N,3,,,311.257,,,7.19e+04,C+,,
N,3,,,311.307,,,1.78e+07,B,,
N,3,,,311.874,,,7.08e+06,B,,
N,3,,,311.877,,,2.29e+04,C,,
N,4,,,311.879,,,2.84e+07,C+,,
N,3,,,311.905,,,2.86e+04,D,,
N,3,,,311.997,,,3.54e+06,B,,
N,3,,,312.059,,,1.20e+05,B,,
N,3,,,312.528,,,1.42e+05,C+,,
N,3,,,312.567,,,1.41e+07,B,,
N,2,,,312.5920,,,6.11e+05,D,,
N,4,,,312.743,,,2.98e+07,C+,,
N,4,,,312.823,,,5.23e+06,C+,,
N,3,,,313.030,,,7.63e+04,C+,,
N,4,,,314.119,,,3.31e+07,C+,,
N,4,,,314.230,,,3.69e+06,C+,,
N,4,,,314.311,,,1.46e+05,C,,
N,5,,,315.976,,,1.03e+08,A,,
N,5,,,316.137,,,2.05e+08,A,,
N,2,,,317.687,,,9.33e-04,D,,
N,2,,,319.0194,,,3.30e+05,D,,
N,2,,,319.6391,,,2.09e+05,D,,
N,3,,,321.933,,,3.15e+07,B,,
N,3,,,322.352,,,3.14e+07,B,,
N,3,,,322.920,,,3.12e+07,B,,
N,5,,,327.851,,,1.03e+07,B,,
N,5,,,327.872,,,1.03e+07,B,,
N,3,,,330.403,,,5.51e+07,B,,
N,3,,,330.663,,,6.59e+07,B,,
N,3,,,330.675,,,1.10e+07,B,,
N,2,,,331.1418,,,1.09e+06,B,,
N,3,,,331.183,,,4.54e+06,B,,
N,3,,,331.627,,,1.13e+07,B,,
N,3,,,331.674,,,2.26e+07,B,,
N,2,,,331.8097,,,1.68e+07,B,,
N,3,,,332.119,,,3.60e+06,B,,
N,2,,,332.4575,,,2.84e+07,B,,
N,3,,,332.703,,,1.21e+07,B,,
N,3,,,332.722,,,8.06e+06,B,,
N,2,,,332.8724,,,9.79e+07,B,,
N,3,,,332.949,,,2.59e+06,B,,
N,2,,,332.9701,,,2.01e+06,D,,
N,3,,,333.011,,,2.33e+07,B,,
N,2,,,333.0317,,,1.18e+08,B,,
N,2,,,333.1307,,,8.83e+07,B,,
N,3,,,333.307,,,1.87e+07,B,,
N,3,,,334.209,,,2.56e+07,B,,
N,3,,,334.276,,,3.80e+07,B,,
N,3,,,335.398,,,7.66e+07,B,,
N,3,,,335.432,,,5.51e+07,B,,
N,3,,,335.546,,,7.51e+07,B,,
N,3,,,335.878,,,3.05e+07,B,,
