element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Fe,3,203.1540,0.0005,203.15462,0.00021,6900,,,4,3,,
Fe,2,203.1566,0.0005,203.156593,0.000011,1600,,,3/2,5/2,,
Fe,1,203.1686,0.00025,203.168379,0.000010,2,,,2,2,,
Fe,2,203.19698,0.00010,203.197076,0.000010,700,,,5/2,7/2,,
Fe,2,203.20011,0.00016,203.200169,0.000017,2600,1.1e+07,D+,1/2,3/2,,
Fe,3,203.2121,0.0005,203.21306,0.00025,1100,,,2,1,,
Fe,2,203.240961,0.000013,203.240945,0.000011,33000,2.7e+07,D+,7/2,9/2,,
Fe,2,203.24255,0.00002,203.242463,0.000010,1900,,,11/2,9/2,,
Fe,2,203.2625,0.0005,203.262251,0.000013,2100d?,1.1e+07,D,3/2,1/2,,
Fe,2,203.29037,0.00004,203.290305,0.000013,500,,,5/2,3/2,,
Fe,3,203.3069,0.0005,203.30713,0.00021,12000,,,2,2,,
Fe,3,203.3442,0.0005,203.34477,0.00021,6800,,,2,3,,
Fe,2,203.3693,0.0005,203.369114,0.000011,1100,,,3/2,1/2,,
Fe,2,203.3750,0.0005,203.375166,0.000011,2700bl(Fe II)*,1.8e+06,D,7/2,5/2,,
Fe,2,203.3750,0.0005,203.375522,0.000013,2700bl(Fe II)*,,,7/2,7/2,,
Fe,2,203.40781,0.00019,203.407667,0.000010,400,2.0e+06,D,9/2,11/2,,
Fe,2,203.41551,0.00010,203.415495,0.000010,500,1.5e+07,D,1/2,1/2,,
Fe,1,203.4214,0.00025,203.421187,0.000014,3,,,3,3,,
Fe,3,203.4297,0.0005,203.43052,0.00017,41000,2.1e+08,C,3,4,,
Fe,1,203.4347,0.00025,203.434871,0.000014,0d?,,,4,4,,
Fe,2,203.44419,0.00010,203.444224,0.000011,4000,6.e+06,D,3/2,3/2,,
Fe,3,203.4548,0.0010,203.4537,0.0004,17000*,,,4,3,,
Fe,3,203.4548,0.0010,203.45529,0.00025,17000*,2.2e+07,D,6,5,,
Fe,1,203.4555,0.00025,203.455397,0.000006,0d?,,,4,3,,
Fe,2,203.46176,0.00013,203.461590,0.000013,2500,1.6e+06,D,5/2,5/2,,
Fe,3,203.4708,0.0005,203.47078,0.00021,56000,2.5e+08,C+,6,5,,
Fe,2,203.4919,0.0005,203.491280,0.000010,290d,bl(Fe I),,,5/2,7/2,,
Fe,1,203.4920,0.00025,203.491972,0.000014,0d,,,4,5,,
Fe,3,203.5110,0.0005,203.51026,0.00025,30000,1.8e+08,D+,2,2,,
Fe,3,203.5181,0.0005,203.51726,0.00025,17000,2.2e+07,D,0,1,,
Fe,3,203.5373,0.0005,203.53715,0.00021,12000,2.3e+07,D,2,1,,
Fe,2,203.58527,0.00006,203.585162,0.000017,7000,3.2e+06,D,5/2,3/2,,
Fe,3,203.5941,0.0005,203.59378,0.00021,41000,5.9e+07,D+,2,3,,
Fe,3,203.6029,0.0005,203.60262,0.00021,41000,6.0e+07,D+,4,5,,
Fe,2,203.60481,0.00006,203.604851,0.000011,1000,3.1e+06,D,3/2,5/2,,
Fe,2,203.643650,0.000015,203.643626,0.000011,28000,3.2e+07,D+,5/2,7/2,,
Fe,2,203.65046,0.00008,203.650379,0.000010,500,1.5e+07,D,3/2,1/2,,
Fe,3,203.6850,0.0005,203.68551,0.00021,30000,6.e+07,D,1,1,,
Fe,2,203.6875,0.0005,203.687393,0.000010,330d,bl(Fe III)?,,,9/2,9/2,,
Fe,2,203.7140,0.0005,203.715082,0.000013,500d,bl(Fe III)?,,,7/2,7/2,,
Fe,3,203.7148,0.0005,203.71544,0.00025,30000,7.e+07,D,1,1,,
Fe,3,203.7302,0.0005,203.73035,0.00021,74000,2.9e+08,C+,5,5,,
Fe,2,203.74481,0.00016,203.74468,0.00004,600,4.0e+07,D+,3/2,1/2,,
Fe,1,203.7452,0.00025,203.745221,0.000007,0d?,,,0,1,,
Fe,3,203.7577,0.0005,203.75809,0.00017,22000,,,3,2,,
Fe,2,203.7779,0.0005,203.777556,0.000011,2200d?,,,1/2,3/2,,
Fe,3,203.8098,0.0005,203.80998,0.00021,41000,8.e+07,D+,1,2,,
Fe,3,203.8627,0.0005,203.86286,0.00025,22000,,,4,5,,
Fe,1,203.8685,0.00025,203.868398,0.000010,0d?,,,1,2,,
Fe,2,203.8685,0.0005,203.869259,0.000010,220d,bl(Fe I)?,,,9/2,11/2,,
Fe,3,203.8743,0.0005,203.87475,0.00017,30000,,,2,2,,
