element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ni,2,256.592,,,,500,,,,,,
Ni,4,,,259.109,,,1.2e-03,D,3/2,3/2,M1,
Ni,4,,,259.109,,,7.5e-01,E,3/2,3/2,E2,
Ni,3,,,259.660,,,1.0e+01,E,2,0,E2,
Ni,2,260.626,,,,500,,,,,,
Ni,2,260.994,,,,500,,,,,,
Ni,2,261.506,,,,500,,,,,,
Ni,2,,,263.0278,,,6.8e+05,C,7/2,7/2,,
Ni,1,,,263.52398,,,9.4e+00,E,2,0,E2,
Ni,7,,,267.62,,,7.e-02,E,2,3,M1,
Ni,7,,,268.55,,,6.e-02,E,3,4,M1,
Ni,27,,,272.0,0.8,,,,1,1,,
Ni,1,269.649,,269.64879,,45,1.4e+06,D,2,2,,
Ni,7,,,271.25,,,4.e-03,E,4,5,M1,
Ni,27,,,274.2,0.8,,,,1,2,,
Ni,7,,,272.84,,,1.6e-01,E,3,3,M1,
Ni,1,,,274.67421,,,1.7e+06,C,3,2,,
Ni,7,,,274.99,,,2.0e-01,E,4,4,M1,
Ni,3,,,278.699,,,1.9e+00,E,2,0,E2,
Ni,1,,,278.87796,,,2.9e+00,E,2,0,E2,
Ni,7,,,279.50,,,2.e-02,E,4,3,M1,
Ni,1,,,279.84726,,,5.3e+00,D,1,0,M1,
Ni,1,279.865,,279.86507,,150,5.8e+06,C,2,2,,
Ni,1,,,280.50788,,,8.8e+05,C,4,3,,
Ni,3,,,281.178,,,2.9e+00,E,1,0,M1,
Ni,15,,,281.801,,,2.00e+02,E,2,2,M1,
Ni,15,,,281.801,,,1.7e-01,E,2,2,E2,
Ni,21,281.852,,281.9,0.6,,5.6e+02,D,0,1,M1,
Ni,1,282.129,,282.12911,,250,4.9e+06,C,3,3,,
Ni,1,,,283.45474,,,6.6e+05,D+,3,2,,
Ni,2,286.402,,,,500,,,,,,
Ni,1,286.550,,286.54981,,50,1.8e+06,C,1,2,,
Ni,5,,,290.475,0.003,,5.e-03,D+,4,3,M1,
Ni,1,290.746,,290.74574,,60,2.0e+06,D+,2,2,,
Ni,1,291.401,,291.40073,,25,5.8e+05,C,3,3,,
Ni,7,,,291.66,,,1.1e-01,E,1,2,M1,
Ni,5,,,293.496,0.003,,7.7e-02,D+,4,4,M1,
Ni,7,,,294.31,,,4.8e-01,E,1,2,M1,
Ni,1,294.391,,294.39121,,500,1.1e+07,C,3,2,,
Ni,7,,,296.20,,,5.e-03,E,2,2,M1,
Ni,1,298.165,,298.16459,,570,2.8e+07,C,2,1,,
Ni,5,,,298.182,0.003,,3.e-02,D+,3,3,M1,
Ni,7,,,298.30,,,7.5e-01,E,2,3,M1,
Ni,1,298.413,,298.41307,,250,6.6e+06,C+,4,3,,
Ni,7,,,298.93,,,8.7e-01,E,2,2,M1,
Ni,1,,,299.11175,,,1.2e+05,D+,2,3,,
Ni,1,299.260,,299.25922,,500,5.4e+06,C+,3,2,,
Ni,1,299.446,,299.44532,,1000,8.7e+06,C+,3,4,,
Ni,1,300.249,,300.24854,,4000,8.0e+07,C+,3,3,,
Ni,1,300.363,,300.36209,,2200,6.9e+07,D,2,2,,
Ni,5,,,300.605,0.003,,3.2e-03,D+,4,5,M1,
Ni,1,301.200,,301.20006,,3700,1.3e+08,C,2,2,,
Ni,5,,,301.366,0.003,,2.1e-02,D+,3,4,M1,
Ni,1,301.914,,301.91433,,350,6.4e+06,C+,4,3,,
Ni,7,,,302.43,,,7.0e-01,E,3,4,M1,
Ni,7,,,302.62,,,3.1e+00,E,3,2,M1,
Ni,1,303.187,,303.18672,,120,1.7e+06,C+,4,4,,
Ni,5,,,303.618,0.003,,1.4e-02,D+,2,3,M1,
Ni,1,303.794,,303.79325,,1700,2.8e+07,C+,3,3,,
Ni,1,304.501,,304.50066,,150,2.8e+06,C,3,2,,
Ni,7,,,304.82,,,1.9e+00,E,3,3,M1,
Ni,1,305.082,,305.08156,,3500,6.0e+07,C+,3,4,,
Ni,1,305.432,,305.43125,,1500,4.0e+07,C+,2,2,,
