element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,diag_lines,
Ar,2,223.46724,0.00001,223.467249,0.000003,214,,,5/2,7/2,,,
Ar,2,223.57593,0.00002,223.575907,0.000004,20,,,5/2,5/2,,,
Ar,2,223.59032,0.00002,223.590339,0.000010,21,,,1/2,3/2,,,
Ar,2,223.65255,0.00001,223.652555,0.000004,62,,,1/2,1/2,,,
Ar,2,223.73844,0.00002,223.738469,0.000003,11,,,3/2,3/2,,,
Ar,2,223.77194,0.00004,223.771952,0.000004,9,,,5/2,7/2,,,
Ar,2,223.8028,0.0006,223.8031,0.0004,1,,,3/2,1/2,,,
Ar,2,223.9615,0.0006,223.961464,0.000003,0.5,,,5/2,5/2,,,
Ar,2,223.99043,0.00005,223.990463,0.000003,6,,,3/2,3/2,,,
Ar,2,224.10267,0.00001,224.102672,0.000003,204,,,3/2,5/2,,,
Ar,3,224.17249,0.00001,224.172495,0.000012,31,,,2,2,,,
Ar,2,224.1858,0.0006,224.1859,0.0006,2,,,3/2,5/2,,,
Ar,3,224.23208,0.00005,224.23210,0.00004,5,6.7e+07,E,1,0,,,
Ar,2,224.36598,0.00001,224.365983,0.000006,102,,,3/2,5/2,,,
Ar,2,224.4080,0.0006,224.408162,0.000003,1,,,7/2,5/2,,,
Ar,2,224.51160,0.00003,224.511571,0.000004,10,,,3/2,1/2,,,
Ar,2,224.5410,0.0006,224.540575,0.000004,2,,,3/2,3/2,,,
Ar,2,224.59719,0.00001,224.597194,0.000006,34,,,5/2,5/2,,,
Ar,3,224.873,0.004,224.87513,0.00004,7,1.7e+07,E,1,1,,,
Ar,2,224.93457,0.00001,224.934574,0.000003,31,,,1/2,3/2,,,
Ar,2,224.96584,0.00005,224.965851,0.000003,8,,,3/2,3/2,,,
Ar,2,225.1403,0.0006,225.143700,0.000003,2,,,1/2,1/2,,,
Ar,2,225.22464,0.00001,225.224630,0.000004,37,,,3/2,5/2,,,
Ar,2,225.252,0.002,225.252041,0.000006,0.5,,,7/2,5/2,,,
Ar,2,225.28294,0.00005,225.282904,0.000003,7?,,,7/2,7/2,,,
Ar,2,225.4283,0.0006,225.42844,0.00006,5,,,3/2,5/2,,,
Ar,2,225.5178,0.0006,225.517510,0.000003,1,,,3/2,5/2,,,
Ar,2,225.54063,0.00001,225.540632,0.000003,38,,,1/2,3/2,,,
Ar,2,225.65429,0.00001,225.654278,0.000008,28,,,7/2,7/2,,,
Ar,2,225.79672,0.00005,225.796703,0.000003,5,,,1/2,3/2,,,
Ar,2,225.8342,0.0006,225.83452,0.00010,1,,,5/2,5/2,,,
Ar,2,226.1211,0.0006,226.121304,0.000004,0.5,,,5/2,3/2,,,
Ar,2,226.2632,0.0006,226.26266,0.00015,2,,,1/2,3/2,,,
Ar,2,226.2877,0.0006,226.287650,0.000011,0.5,,,3/2,3/2,,,
Ar,2,226.30683,0.00005,226.306834,0.000003,10,,,3/2,3/2,,,
Ar,3,,,226.32724,0.00004,,6.6e+05,E,1,2,,,
Ar,2,226.4128,0.0006,226.411715,0.000008,0.5,,,1/2,1/2,,,
Ar,3,226.51445,0.00001,226.51445,0.00005,34,,,2,1,,,
Ar,2,226.52222,0.00001,226.522220,0.000011,41,,,1/2,3/2,,,
Ar,2,226.64387,0.00007,226.643855,0.000003,8,,,5/2,5/2,,,
Ar,2,226.69426,0.00013,226.694291,0.000004,4,,,5/2,3/2,,,
Ar,2,226.71115,0.00003,226.711174,0.000003,18,,,5/2,3/2,,,
Ar,2,226.8625,0.0006,226.8629,0.0004,1,,,1/2,1/2,,,
Ar,2,226.9598,0.0006,226.958401,0.000003,0.5,,,5/2,3/2,,,
Ar,3,226.97517,0.00002,226.97517,0.00003,36,,,1,0,,,
Ar,3,226.99537,0.00001,226.995364,0.000019,100,,,3,2,,,
Ar,8,227.03,0.03,227.035,0.021,,,,3/2,5/2,,,
Ar,2,227.2640,0.0006,227.263756,0.000003,2,,,3/2,5/2,,,
Ar,2,227.2765,0.0006,227.275012,0.000003,0.5,,,3/2,5/2,,,
Ar,2,227.49262,0.00003,227.492637,0.000006,13,,,5/2,5/2,,,
Ar,2,227.5054,0.0006,227.504792,0.000005,1,,,1/2,3/2,,,
Ar,2,227.53612,0.00001,227.536144,0.000003,30,,,5/2,7/2,,,
Ar,2,227.673,0.002,227.672130,0.000005,0,,,5/2,3/2,,,
Ar,3,227.90327,0.00004,227.90329,0.00003,9,,,2,2,,,
Ar,3,227.947,0.005,227.94167,0.00003,3,,,1,2,,,
Ar,3,227.968,0.005,227.964553,0.000016,4,,,2,3,,,
Ar,3,228.085,0.005,228.08149,0.00006,5,,,2,1,,,
Ar,3,228.11989,0.00009,228.11993,0.00006,5,,,1,1,,,
Ar,2,228.1512,0.0006,228.150772,0.000003,1,,,1/2,3/2,,,
Ar,3,228.22225,0.00004,228.22221,0.00003,10,4.9e+07,E,2,1,,,
Ar,2,228.26205,0.00001,228.262053,0.000003,219,,,5/2,7/2,,,
Ar,2,228.30582,0.00004,228.305790,0.000003,12,,,3/2,3/2,,,
Ar,2,228.32433,0.00001,228.324330,0.000004,214,,,5/2,7/2,,,
Ar,2,228.37547,0.00008,228.375424,0.000004,8,,,5/2,5/2,,,
Ar,2,228.39938,0.00001,228.399386,0.000003,427,,,5/2,5/2,,,
Ar,2,228.5612,0.0006,228.560908,0.000005,1,,,1/2,1/2,,,
Ar,2,228.57997,0.00003,228.579979,0.000004,16,,,5/2,7/2,,,
Ar,2,228.69248,0.00001,228.692483,0.000003,105,,,3/2,1/2,,,
Ar,2,228.87656,0.00001,228.876560,0.000003,117,,,5/2,5/2,,,
Ar,3,228.882,0.003,228.882034,0.000008,2,,,2,3,,,
Ar,2,228.909,0.002,228.909708,0.000003,0.5,,,5/2,3/2,,,
Ar,3,228.931,0.003,228.930999,0.000022,4,,,1,2,,,
Ar,2,228.93802,0.00002,228.938007,0.000004,19,,,3/2,3/2,,,
Ar,2,228.97683,0.00001,228.976830,0.000003,282,,,7/2,9/2,,,
Ar,2,229.00104,0.00006,229.001119,0.000004,8,,,7/2,7/2,,,
Ar,2,229.04247,0.00001,229.042477,0.000003,51,,,7/2,7/2,,,
Ar,3,229.061,0.003,229.059931,0.000022,6,,,2,2,,,
Ar,3,229.13593,0.00008,229.13590,0.00003,6,,,3,3,,,
Ar,2,229.21320,0.00001,229.213209,0.000003,91,,,3/2,5/2,,,
Ar,3,229.22648,0.00008,229.226523,0.000008,5,,,3,3,,,
Ar,3,229.239,0.005,229.23553,0.00003,5,,,3,2,,,
Ar,3,229.29752,0.00002,229.297516,0.000018,17,,,3,3,,,
Ar,3,229.405,0.003,229.404956,0.000022,3,,,3,2,,,
Ar,3,229.491,0.003,229.49055,0.00006,5,,,1,1,,,
Ar,2,229.53493,0.00001,229.534931,0.000003,58,,,3/2,3/2,,,
Ar,2,229.6202,0.0012,229.61935,0.00006,0.5bl,G?,,,3/2,5/2,,,
Ar,3,229.624,0.003,229.62011,0.00006,4,,,2,1,,,
Ar,3,229.715,0.004,229.71800,0.00003,5,9.8e+06,E,2,2,,,
Ar,2,229.7645,0.0006,229.765081,0.000004,0.5,,,3/2,3/2,,,
Ar,2,229.78805,0.00010,229.788045,0.000005,5?,,,1/2,1/2,,,
Ar,3,229.9062,0.0020,229.9080,0.0016,1,,,0,1,,,
Ar,2,230.01793,0.00001,230.017920,0.000003,195,,,3/2,5/2,,,
Ar,3,230.07825,0.00006,230.07823,0.00006,4,,,1,1,,,
Ar,2,230.18256,0.00001,230.182575,0.000003,34,,,1/2,3/2,,,
Ar,2,230.20780,0.00001,230.207690,0.000011,91*,,,1/2,1/2,,,
Ar,2,230.20780,0.00001,230.207809,0.000003,91*,,,5/2,5/2,,,
Ar,3,230.217,0.005,230.20924,0.00006,15,,,2,1,,,
Ar,3,230.292,0.005,230.28735,0.00006,6,,,0,1,,,
Ar,2,230.58594,0.00002,230.585930,0.000004,18,,,3/2,3/2,,,
Ar,2,230.72715,0.00005,230.727104,0.000011,8,,,1/2,3/2,,,
Ar,2,230.74610,0.00005,230.746074,0.000004,8,,,5/2,7/2,,,
Ar,2,230.90973,0.00002,230.909741,0.000003,28,,,5/2,3/2,,,
Ar,2,230.91519,0.00001,230.915195,0.000004,288,,,1/2,3/2,,,
Ar,2,230.9860,0.0006,230.985969,0.000005,2,,,1/2,3/2,,,
Ar,3,231.21238,0.00008,231.21238,0.00008,6,,,1,0,,,
Ar,2,231.37191,0.00001,231.371923,0.000003,1047,,,5/2,7/2,,,
Ar,2,231.49707,0.00001,231.497068,0.000003,398,,,3/2,5/2,,,
Ar,2,231.53098,0.00001,231.530979,0.000003,58,,,3/2,3/2,,,
Ar,2,231.62973,0.00001,231.629726,0.000003,1820,,,7/2,9/2,,,
Ar,3,231.68911,0.00005,231.68915,0.00004,7,,,1,1,,,
Ar,3,231.73757,0.00006,231.73756,0.00006,8,,,2,3,,,
Ar,2,231.77460,0.00001,231.774598,0.000004,191,1.4e+07,C,5/2,3/2,,,
Ar,3,231.79325,0.00002,231.79326,0.00003,20,,,1,2,,,
Ar,3,231.835,0.005,231.82201,0.00004,2,,,2,1,,,
Ar,2,231.854,0.004,231.853815,0.000004,0bl?,,,7/2,7/2,,,
Ar,3,231.90123,0.00004,231.90122,0.00004,10,,,0,1,,,
Ar,3,231.92632,0.00005,231.92624,0.00003,8,,,2,2,,,
Ar,2,232.2081,0.0006,232.208309,0.000003,2,,,5/2,5/2,,,
Ar,2,232.44270,0.00004,232.442679,0.000004,11,,,3/2,5/2,,,
Ar,2,232.77869,0.00003,232.778693,0.000004,9,,,5/2,7/2,,,
Ar,2,232.9357,0.0006,232.935422,0.000004,1,,,1/2,3/2,,,
Ar,3,232.99195,0.00007,232.99202,0.00004,5,,,1,2,,,
Ar,2,233.14503,0.00001,233.145032,0.000003,912,,,5/2,7/2,,,
Ar,2,233.2310,0.0012,233.232245,0.000005,1bl,G?,,,3/2,1/2,,,
Ar,2,233.29032,0.00005,233.290369,0.000011,9,,,3/2,1/2,,,
Ar,2,233.30360,0.00008,233.303595,0.000004,8,,,5/2,7/2,,,
Ar,3,233.52989,0.00003,233.52989,0.00005,14,,,1,1,,,
Ar,2,233.77777,0.00001,233.777771,0.000003,525,,,3/2,5/2,,,
Ar,3,233.81615,0.00029,233.8162,0.0003,4,,,1,0,,,
Ar,2,233.906,0.002,233.906080,0.000003,0,,,7/2,7/2,,,
Ar,2,233.97968,0.00001,233.979676,0.000003,49,,,7/2,5/2,,,
Ar,3,234.356,0.005,234.35679,0.00003,3,,,2,2,,,
Ar,2,234.42027,0.00001,234.420273,0.000003,269,,,7/2,7/2,,,
Ar,2,234.4745,0.0006,234.475500,0.000003,0.5,,,5/2,5/2,,,
