element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
S,4,,,238.357,,,2.12e06,E,3/2,3/2,,
S,2,238.4435,0.0020,238.4456,0.0011,120bl,,,1/2,3/2,,
S,4,238.6952,,238.6984,,17,4.32e08,A,1/2,3/2,,
S,4,,,239.168,,,1.89e07,D,5/2,3/2,,
S,4,239.6416,,239.6432,,2,6.45e06,D,3/2,5/2,,
S,4,239.7726,,239.7737,,1,8.71e07,D,3/2,3/2,,
S,4,239.8802,,239.8790,,19,5.42e08,A,3/2,5/2,,
S,4,239.9018,,239.9049,,6,9.03e07,B,3/2,3/2,,
S,4,240.1582,,240.1579,,2,8.98e07,D,5/2,5/2,,
S,5,,,240.24,,,2.92e07,D,4,3,,
S,5,,,240.24,,,2.53e06,E,3,3,,
S,5,,,240.24,,,7.14e04,E',2,3,,
S,5,,,240.249,,,1.12e02,B,2,0,E2,
S,4,,,240.289,,,9.61e06,D,5/2,3/2,,
S,3,240.5562,,240.5565,,6w,,,1,1,,
S,4,240.9972,,240.9957,,6w,4.55e08,D,3/2,1/2,,
S,2,241.6050,0.0009,241.6042,0.0005,430,,,1/2,3/2,,
S,2,241.7930,0.0009,241.7932,0.0008,170,,,9/2,7/2,,
S,2,241.9632,0.0009,241.9632,0.0009,110,,,7/2,5/2,,
S,4,241.9674,,241.9687,,11,4.49e08,C,3/2,3/2,,
S,15,,,242.2,0.3,,3.40e07,AA,1,2,,
S,3,242.2897,,242.2899,,10,,,2,1,,
S,4,,,242.385,,,5.56e02,E',1/2,1/2,,
S,6,,,242.66,,,4.69e06,B,1/2,3/2,,
S,6,,,243.10,,,6.00e06,B,3/2,5/2,,
S,6,,,243.10,,,1.01e06,B,3/2,3/2,,
S,4,243.1594,,243.1583,,13,,,5/2,7/2,,
S,4,243.3513,,243.3513,,1,,,7/2,9/2,,
S,4,243.4610,,243.4639,,12bl,,,3/2,5/2,,
S,11,,,243.5,,,7.70e05,D,2,2,,
S,4,,,243.588,,,1.23e03,D,1/2,3/2,,
S,4,243.6035,,243.6039,,10,4.40e08,C,3/2,5/2,,
S,3,244.2581,,244.2586,,2w,3.69e06,E',1,2,,
S,4,244.5788,,244.5790,,1,,,5/2,7/2,,
S,2,244.7478,0.0009,244.7484,0.0007,260,,,1/2,1/2,,
S,4,,,245.248,,,4.13e08,C,1/2,3/2,,
S,2,245.2876,0.0009,245.2886,0.0005,62,,,5/2,7/2,,
S,2,245.6240,0.0009,245.6248,0.0004,250,,,1/2,3/2,,
S,4,245.7835,,245.7835,,1w,9.13e07,D,1/2,1/2,,
S,2,245.8592,0.0009,245.8580,0.0006,250,,,5/2,7/2,,
S,3,246.0496,,246.0460,,7,5.42e07,D,2,2,,
S,2,246.2183,0.0009,246.2177,0.0005,98,,,5/2,5/2,,
S,4,,,246.239,,,4.90e08,C,3/2,5/2,,
S,4,246.2651,,246.2625,,16,,,5/2,5/2,,
S,4,246.3770,,246.3772,,2w,8.15e07,D,3/2,3/2,,
S,2,247.5417,0.0024,247.5387,0.0006,580,,,3/2,5/2,,
S,2,247.6334,0.0009,247.6331,0.0004,58,,,3/2,5/2,,
S,5,,,247.64,,,3.18e08,D,1,2,,
S,2,247.6725,0.0009,247.6719,0.0008,95,,,3/2,3/2,,
S,5,,,247.81,,,3.36e08,D,2,3,,
S,5,,,247.81,,,5.89e07,D,2,2,,
S,5,,,248.15,,,3.76e08,D,3,4,,
S,5,,,248.15,,,4.19e07,D,3,3,,
S,5,,,248.15,,,1.65e06,E',3,2,,
S,2,248.4721,0.0009,248.4723,0.0008,93,,,1/2,3/2,,
S,5,,,248.79,,,3.42e07,D,3,2,,
S,2,248.7966,0.0010,248.7965,0.0012,370*,,,3/2,1/2,,
S,2,248.7966,0.0010,248.7965,0.0012,370*,,,3/2,3/2,,
S,2,248.9019,0.0009,248.9002,0.0005,57,,,5/2,3/2,,
S,3,248.9566,,248.9537,,10,8.72e07,D,1,1,,
S,4,,,249.039,,,1.54e-01,C,3/2,3/2,M1,
S,4,,,249.039,,,2.00e-01,B,3/2,3/2,E2,
S,3,249.0488,,249.0488,,10,1.93e07,B,1,2,,
S,4,,,249.332,,,8.88e-02,C,5/2,3/2,M1,
S,4,,,249.332,,,1.87e-01,B,5/2,3/2,E2,
S,4,249.5233,,249.5273,,3w,1.75e08,D,3/2,1/2,,
S,3,249.6239,,249.6208,,15,2.90e08,D,3,2,,
S,3,249.9030,,249.9029,,12,3.46e08,D,1,0,,
S,2,250.3934,0.0009,250.3942,0.0003,140,,,5/2,7/2,,
S,5,250.4112,,250.4092,,1,3.09e08,D,2,3,,
S,2,250.5348,0.0007,250.5344,0.0007,1900,,,5/2,7/2,,
S,3,250.8097,,250.8107,,12,2.56e08,D,2,1,,
S,2,250.9030,0.0007,250.9017,0.0006,1200,,,3/2,5/2,,
S,2,250.9975,0.0009,250.9974,0.0006,220,,,3/2,3/2,,
S,4,251.5312,,251.5302,,4,,,3/2,5/2,,
S,4,251.5579,,251.5574,,5,,,5/2,7/2,,
S,2,251.6574,0.0009,251.6564,0.0004,53,,,3/2,5/2,,
S,12,,,252,,,1.51e08,C,5/2,7/2,,
S,2,251.8201,0.0020,251.8195,0.0007,140bl,,,1/2,3/2,,
S,2,251.8404,0.0007,251.8392,0.0006,1200,,,5/2,7/2,,
S,2,251.9500,0.0009,251.9510,0.0009,220,,,3/2,5/2,,
S,10,,,252.2,,,1.06e01,C,3/2,5/2,M1,
S,4,252.2481,,252.2499,,4,,,5/2,5/2,,
S,4,,,252.983,,,9.38e-02,C,3/2,1/2,M1,
S,4,,,252.983,,,1.32e-01,B,3/2,1/2,E2,
S,4,,,253.285,,,1.90e00,B,5/2,1/2,E2,
S,4,253.4831,,253.4857,,1bl,,,3/2,3/2,,
S,2,253.4982,0.0009,253.4987,0.0007,51,,,3/2,5/2,,
S,2,254.1060,0.0009,254.1050,0.0006,51,,,5/2,7/2,,
S,4,254.3908,,254.3908,,1,,,5/2,5/2,,
