element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
C,3,,,260.9746,,,4.55e+04,C,,
C,3,,,260.9821,,,6.82e+05,B,,
C,3,,,261.0013,,,3.82e+06,B,,
C,2,261.245,0.024,261.25,0.03,36wH*,6.7e+06,C,,
C,2,261.245,0.024,261.25,0.03,36wH*,,,,
C,3,,,261.4414,,,1.13e+06,B,,
C,3,,,261.4489,,,3.39e+06,B,,
C,3,,,261.6626,,,4.51e+06,B,,
C,2,262.020,0.003,262.0214,0.0005,47hql,5.05e+06,B,,
C,2,,,262.0566,0.0005,,3.60e+05,B,,
C,2,,,262.2534,0.0006,,5.39e+05,B,,
C,2,262.290,0.004,262.2887,0.0004,36hql,4.85e+06,B,,
C,2,262.846,0.009,262.846,0.009,28wH,2.6e+07,C,,
C,2,,,263.1263,0.0004,,1.00e+03,C,,
C,2,,,263.2577,0.0003,,5.0e+03,C,,
C,2,264.056,0.005,264.047,0.003,150*,4.89e+07,B,,
C,2,264.056,0.005,264.0583,0.0007,150*,5.26e+07,B,,
C,2,264.0894,0.0007,264.0891,0.0005,140,6.00e+07,B,,
C,3,,,264.140,,,3.10e+07,B,,
C,2,264.143,0.005,264.140,0.003,250w*,6.99e+07,B,,
C,2,264.143,0.005,264.147,0.003,250w*,1.96e+07,B,,
C,2,264.2331,0.0007,264.2328,0.0007,53,1.70e+07,B,,
C,2,,,264.322,0.003,,1.40e+06,B,,
C,2,264.3427,0.0007,264.3429,0.0005,53,9.95e+06,B,,
C,2,,,264.4869,0.0007,,6.73e+05,B,,
C,2,266.996,0.004,266.9870,0.0011,46ql*,5.2e+05,D+,,
C,2,266.996,0.004,266.9885,0.0013,46ql*,5.08e+06,B,,
C,2,266.996,0.004,266.9974,0.0011,46ql*,4.7e+06,D+,,
C,3,,,267.0238,,,5.87e+07,C+,,
C,3,,,267.1318,,,6.21e+07,C+,,
C,3,,,267.1339,,,1.09e+07,C+,,
C,3,,,267.2953,,,6.97e+07,C+,,
C,3,,,267.2983,,,7.77e+06,C+,,
C,3,,,267.3004,,,3.07e+05,C,,
C,3,,,267.3765,,,1.70e+05,C,,
C,3,,,268.1608,,,1.05e+05,C,,
C,3,,,268.3924,,,1.41e+05,C,,
C,3,,,268.3935,,,7.82e+04,C,,
C,3,,,268.8830,,,1.87e+05,C+,,
C,3,,,268.8861,,,4.67e+04,C,,
C,3,,,268.8872,,,5.19e+03,D,,
C,3,,,269.375,,,1.14e+06,B,,
C,3,,,269.375,,,1.26e+05,C+,,
C,3,,,269.375,,,2.55e+03,D,,
C,3,,,269.553,,,1.01e+06,B,,
C,3,,,269.553,,,9.02e+04,C+,,
C,3,,,269.7252,,,1.02e+07,B,,
C,3,,,269.7416,,,3.06e+07,B,,
C,4,,,269.772,,,1.17e+08,A,,
C,3,269.775,,269.7765,,150,5.09e+07,B,,
C,3,,,269.813,,,1.04e+06,B,,
C,4,,,269.867,,,2.34e+08,A,,
C,2,,,270.1773,0.0004,,3.10e+02,C,,
C,2,,,270.2027,0.0005,,1.25e+04,C,,
C,2,,,270.2982,0.0008,,7.6e+04,C,,
C,2,,,270.3413,0.0004,,4.65e+04,C,,
C,2,,,270.4369,0.0008,,3.75e+04,C,,
C,2,270.84,0.03,270.810,0.005,27wH*,,,,
C,2,270.84,0.03,270.874,0.005,27wH*,3.4e+07,C,,
C,2,,,270.982,0.003,,5.e+04,D,,
C,2,,,270.982,0.003,,4.6e+05,D,,
C,2,,,271.020,0.003,,3.2e+04,D,,
C,2,,,271.020,0.003,,5.e+05,D,,
C,2,271.059,0.009,271.055,0.007,27wH,8.2e+06,C,,
C,2,271.232,0.009,271.223,0.007,21wH,,,,
C,3,,,271.601,,,1.07e+07,B,,
C,3,272.485,,,,110l,,,,
C,3,272.530,,,,150l,,,,
C,3,272.590,,,,150l,,,,
C,2,272.736,0.004,272.7304,0.0005,35w,6.64e+06,B,,
C,3,,,272.7555,,,2.82e+08,B,,
C,3,,,272.8171,,,4.39e+01,B,E2,
C,2,272.8707,0.0007,272.8716,0.0004,54,3.28e+07,B+,,
C,2,272.9213,0.0007,272.9210,0.0005,35,2.63e+07,B+,,
C,2,273.0610,0.0020,273.0625,0.0006,27,1.32e+07,B,,
C,2,274.6488,0.0014,274.6457,0.0008,290,4.35e+07,B,,
C,2,274.7282,0.0018,274.7283,0.0008,450ql,5.22e+07,B,,
C,2,,,274.7298,0.0008,,8.71e+06,B,,
C,3,,,275.1829,,,4.71e+05,B,,
C,2,276.5120,0.0007,276.5122,0.0005,27,2.14e+07,B,,
C,2,276.6118,0.0007,276.6111,0.0005,35,2.14e+07,B,,
C,2,276.7673,0.0007,276.7680,0.0005,45,2.13e+07,B,,
C,3,,,277.4576,,,9.00e+05,B,,
C,3,,,279.4569,,,3.72e+07,C+,,
C,3,,,279.6460,,,3.93e+07,C+,,
C,3,,,279.6483,,,6.90e+06,C+,,
C,2,279.770,0.004,279.7674,0.0023,26h,6.3e+06,C,,
C,2,279.915,0.004,279.9110,0.0024,26h,1.2e+07,C,,
C,3,,,279.9479,,,4.41e+07,C+,,
C,3,,,279.9512,,,4.91e+06,C+,,
C,3,,,279.9535,,,1.94e+05,C,,
C,2,280.121,0.004,280.118,0.003,79w,u*,1.04e+08,C+,,
C,2,280.121,0.004,280.1263,0.0016,79w,u*,8.56e+07,C+,,
C,2,280.143,0.004,280.140,0.003,47w,u*,8.58e+07,C+,,
C,2,280.143,0.004,280.1438,0.0015,47w,u*,7.35e+07,C+,,
C,2,280.239,0.004,280.244,0.003,20h,1.6e+07,C,,
C,2,280.295,0.004,280.2999,0.0015,20h,1.4e+07,C,,
C,2,280.345,0.004,280.3453,0.0016,20h,9.9e+06,C,,
C,3,,,280.5016,,,1.90e+05,B,,
C,3,,,280.5099,,,4.74e+06,B,,
C,3,,,280.5162,,,1.89e+07,B,,
C,3,,,280.6231,,,2.84e+06,B,,
C,3,,,280.6314,,,1.42e+07,B,,
C,3,,,280.8068,,,1.59e+07,B,,
C,2,281.913,0.015,281.8916,0.0014,26w*,,,,
C,2,281.913,0.015,281.927,0.009,26w*,,,,
C,2,281.913,0.015,281.9312,0.0006,26w*,,,,
C,2,,,281.9513,0.0006,,2.3e+05,E,,
C,2,282.0000,0.0020,281.9945,0.0006,26*,,,,
C,2,282.0000,0.0020,281.9970,0.0014,26*,,,,
C,2,,,282.033,0.009,,1.6e+06,E,,
C,2,282.070,0.015,282.0568,0.0006,26w*,,,,
C,2,282.070,0.015,282.0593,0.0007,26w*,4.4e+06,C,,
